tweetId,ordinal,type,path
1645785877812236294,0,photo,media/1645785877812236294/0.jpg
1661742549470711810,0,photo,media/1661742549470711810/0.jpg
1742290770726736071,0,photo,media/1742290770726736071/0.jpg
1694740216441864291,0,photo,media/1694740216441864291/0.jpg
1668729966077308928,0,photo,media/1668729966077308928/0.jpg
1668729966077308928,1,photo,media/1668729966077308928/1.jpg
1677809883406651393,0,photo,media/1677809883406651393/0.jpg
1653135622083584001,0,video,media/1653135622083584001/0.jpg
1707363948486332643,0,photo,media/1707363948486332643/0.jpg
1606062249344307200,0,photo,media/1606062249344307200/0.jpg
1723362480502530430,0,photo,media/1723362480502530430/0.jpg
1764975725373775980,0,photo,media/1764975725373775980/0.png
1650932061140668416,0,video,media/1650932061140668416/0.jpg
1653129462182187009,0,video,media/1653129462182187009/0.jpg
1534722484280381440,0,photo,media/1534722484280381440/0.jpg
1750994033726681112,0,video,media/1750994033726681112/0.jpg
1655541503240941570,0,photo,media/1655541503240941570/0.jpg
1749168632431841535,0,video,media/1749168632431841535/0.jpg
1657606686876598274,0,photo,media/1657606686876598274/0.jpg
1690084401030529028,0,video,media/1690084401030529028/0.jpg
1661421368703844376,0,photo,media/1661421368703844376/0.jpg
1661421368703844376,1,photo,media/1661421368703844376/1.jpg
1661421368703844376,2,photo,media/1661421368703844376/2.jpg
1682368329535684608,0,photo,media/1682368329535684608/0.jpg
1673740554847526912,0,photo,media/1673740554847526912/0.jpg
1670442514778820610,0,video,media/1670442514778820610/0.jpg
1655402780171943938,0,photo,media/1655402780171943938/0.jpg
1828808627995517087,0,photo,media/1828808627995517087/0.jpg
1687526381331021824,0,photo,media/1687526381331021824/0.jpg
1743969431829819766,0,photo,media/1743969431829819766/0.jpg
1767038945475322025,0,photo,media/1767038945475322025/0.jpg
1779055776880869839,0,video,media/1779055776880869839/0.jpg
1762508807303757934,0,photo,media/1762508807303757934/0.jpg
1779194902074577284,0,photo,media/1779194902074577284/0.jpg
1752730710522183948,0,video,media/1752730710522183948/0.jpg
1442277811767713793,0,photo,media/1442277811767713793/0.jpg
1811416539213799783,0,photo,media/1811416539213799783/0.jpg
1760585284448616831,0,video,media/1760585284448616831/0.jpg
1770486244994105782,0,photo,media/1770486244994105782/0.jpg
1655232038155300864,0,photo,media/1655232038155300864/0.jpg
1686116831474450432,0,photo,media/1686116831474450432/0.jpg
1651997504089600015,0,video,media/1651997504089600015/0.jpg
1625924411390849026,0,video,media/1625924411390849026/0.jpg
1805959816155664489,0,photo,media/1805959816155664489/0.jpg
1686243991367421952,0,photo,media/1686243991367421952/0.jpg
